period,dim,value,count,baseline_median,magnitude,kind,answered_pct,unanswered,median_first_answer_h,question_ids,example_urls,example_titles
2026-01-05,os,os:windows,12,3.0,4.0,above-baseline,92,1,6.1,1558596 1558599 1558609 1558611 1558618 1558629 1558643 1558654 1558670 1558674 1558682 1558692,https://support.mozilla.org/questions/1558596 https://support.mozilla.org/questions/1558599 https://support.mozilla.org/questions/1558609 https://support.mozilla.org/questions/1558611 https://support.mozilla.org/questions/1558618 https://support.mozilla.org/questions/1558629 https://support.mozilla.org/questions/1558643 https://support.mozilla.org/questions/1558654 https://support.mozilla.org/questions/1558670 https://support.mozilla.org/questions/1558674 https://support.mozilla.org/questions/1558682 https://support.mozilla.org/questions/1558692,Adding a new E-Mail doesn´t work. | Lost Stored Folders | thunderbird | All of a sudden any AOL email with an attachment is not bein | received an email
2025-10-01,mail_provider,m:microsoftemail,12,2.0,6.0,above-baseline,92,1,6.3,1538782 1538788 1538800 1538804 1538822 1538880 1538902 1538904 1538930 1538946 1538961 1538968,https://support.mozilla.org/questions/1538782 https://support.mozilla.org/questions/1538788 https://support.mozilla.org/questions/1538800 https://support.mozilla.org/questions/1538804 https://support.mozilla.org/questions/1538822 https://support.mozilla.org/questions/1538880 https://support.mozilla.org/questions/1538902 https://support.mozilla.org/questions/1538904 https://support.mozilla.org/questions/1538930 https://support.mozilla.org/questions/1538946 https://support.mozilla.org/questions/1538961 https://support.mozilla.org/questions/1538968,"Thunderbird stopped sending emails and I didn't change anyth | outgoing outlook emails no working | Hotmail email account on Thunderbird worked last night, but  | Outlook accounts failing signin | I have Thunderbird on two computers. Both can receive emails"
2025-09-16,protocol,proto:imap,8,2.0,4.0,above-baseline,25,6,0.1,1535940 1535975 1535976 1535996 1536007 1536039 1536047 1536071,https://support.mozilla.org/questions/1535940 https://support.mozilla.org/questions/1535975 https://support.mozilla.org/questions/1535976 https://support.mozilla.org/questions/1535996 https://support.mozilla.org/questions/1536007 https://support.mozilla.org/questions/1536039 https://support.mozilla.org/questions/1536047 https://support.mozilla.org/questions/1536071,Google now wants me to access my Gmail from Thunderbird usin | Imap do not work suddenly | Junk mail can only be fetched manually? | Non funzionano più gli account gmail.com | Problem with one gmail account in Thunderbird
2025-08-27,mail_provider,m:comcast,15,0.0,new,new/dormant,73,4,2.8,1531831 1531837 1531906 1531926 1531956 1531959 1531963 1531965 1532006 1532008 1532019 1532026 1532035 1532043 1532047,https://support.mozilla.org/questions/1531831 https://support.mozilla.org/questions/1531837 https://support.mozilla.org/questions/1531906 https://support.mozilla.org/questions/1531926 https://support.mozilla.org/questions/1531956 https://support.mozilla.org/questions/1531959 https://support.mozilla.org/questions/1531963 https://support.mozilla.org/questions/1531965 https://support.mozilla.org/questions/1532006 https://support.mozilla.org/questions/1532008 https://support.mozilla.org/questions/1532019 https://support.mozilla.org/questions/1532026 https://support.mozilla.org/questions/1532035 https://support.mozilla.org/questions/1532043 https://support.mozilla.org/questions/1532047,SMTP error message...and I made it much worse | Thunderbird 142 Release AND 141.2.0 ESR GET comcast MESSAGES | Comcast imap timeout | receiving emails | either comcast crashed on me or thunderbird
2025-08-14,mail_provider,m:gmail,10,3.0,3.33,above-baseline,80,2,21.4,1529157 1529212 1529229 1529243 1529255 1529260 1529329 1529356 1529365 1529372,https://support.mozilla.org/questions/1529157 https://support.mozilla.org/questions/1529212 https://support.mozilla.org/questions/1529229 https://support.mozilla.org/questions/1529243 https://support.mozilla.org/questions/1529255 https://support.mozilla.org/questions/1529260 https://support.mozilla.org/questions/1529329 https://support.mozilla.org/questions/1529356 https://support.mozilla.org/questions/1529365 https://support.mozilla.org/questions/1529372,Oauth2 not available | Impossible toread my mails. | NOT WORKING: Changing the order of account mail check | ha dejado de funcionar un correo de Gmail | Code instead of formatted message
2025-08-14,os,os:windows,18,6.0,3.0,above-baseline,83,3,7.8,1529149 1529153 1529155 1529170 1529173 1529174 1529194 1529231 1529283 1529286 1529291 1529296 1529303 1529333 1529354 1529356 1529372 1529373,https://support.mozilla.org/questions/1529149 https://support.mozilla.org/questions/1529153 https://support.mozilla.org/questions/1529155 https://support.mozilla.org/questions/1529170 https://support.mozilla.org/questions/1529173 https://support.mozilla.org/questions/1529174 https://support.mozilla.org/questions/1529194 https://support.mozilla.org/questions/1529231 https://support.mozilla.org/questions/1529283 https://support.mozilla.org/questions/1529286 https://support.mozilla.org/questions/1529291 https://support.mozilla.org/questions/1529296 https://support.mozilla.org/questions/1529303 https://support.mozilla.org/questions/1529333 https://support.mozilla.org/questions/1529354 https://support.mozilla.org/questions/1529356 https://support.mozilla.org/questions/1529372 https://support.mozilla.org/questions/1529373,"transferring Thunderbird email program and all contents from | Recovering my sbcglobal.net email account.` | Recovering my old sbcglobal.net email address that I last us | incoming email appears with the raw source format | Ho to access ""Folder Modes"" in Thunderbird 140.1.1esr (32-bi"
2025-08-13,av,av:bitdefender,15,0.0,new,new/dormant,100,0,3.2,1528889 1528911 1528916 1528919 1528920 1528939 1528946 1528957 1528978 1528987 1528993 1529008 1529035 1529044 1529049,https://support.mozilla.org/questions/1528889 https://support.mozilla.org/questions/1528911 https://support.mozilla.org/questions/1528916 https://support.mozilla.org/questions/1528919 https://support.mozilla.org/questions/1528920 https://support.mozilla.org/questions/1528939 https://support.mozilla.org/questions/1528946 https://support.mozilla.org/questions/1528957 https://support.mozilla.org/questions/1528978 https://support.mozilla.org/questions/1528987 https://support.mozilla.org/questions/1528993 https://support.mozilla.org/questions/1529008 https://support.mozilla.org/questions/1529035 https://support.mozilla.org/questions/1529044 https://support.mozilla.org/questions/1529049,Corrupt emails show as plain text only (bitdefender??). SOLV | Incomming Messages Not Being Displayed Correctly (bitdefende | emails received without sender name or subject and in source | receiving emails with no header (bitdefender) | e mails in kode text? (bitdefender)
2025-08-13,protocol,proto:smtp,10,2.0,5.0,above-baseline,70,3,1.4,1528890 1528920 1528946 1528978 1529032 1529035 1529044 1529061 1529066 1529082,https://support.mozilla.org/questions/1528890 https://support.mozilla.org/questions/1528920 https://support.mozilla.org/questions/1528946 https://support.mozilla.org/questions/1528978 https://support.mozilla.org/questions/1529032 https://support.mozilla.org/questions/1529035 https://support.mozilla.org/questions/1529044 https://support.mozilla.org/questions/1529061 https://support.mozilla.org/questions/1529066 https://support.mozilla.org/questions/1529082,SMTP Not Working | e mails in kode text? (bitdefender) | Emails received in code | Problems with new messages after 140/141 update (bitdefender | Sending of the message failed. An error occurred while sendi
2025-08-13,mail_provider,m:gmail,10,3.0,3.33,above-baseline,70,3,4.8,1528885 1528889 1528937 1528941 1529002 1529017 1529035 1529042 1529049 1529103,https://support.mozilla.org/questions/1528885 https://support.mozilla.org/questions/1528889 https://support.mozilla.org/questions/1528937 https://support.mozilla.org/questions/1528941 https://support.mozilla.org/questions/1529002 https://support.mozilla.org/questions/1529017 https://support.mozilla.org/questions/1529035 https://support.mozilla.org/questions/1529042 https://support.mozilla.org/questions/1529049 https://support.mozilla.org/questions/1529103,for a past 2 weeks I cant send and receive emails | Corrupt emails show as plain text only (bitdefender??). SOLV | ik kan geen e-mail ontvangen van Ziggo | [DOC] Errore codifica email (Agosto 2025) | every single email in my drafts is GONE
2025-08-12,av,av:bitdefender,19,0.0,new,new/dormant,100,0,3.2,1528644 1528675 1528715 1528723 1528727 1528732 1528733 1528744 1528755 1528773 1528775 1528779 1528783 1528790 1528822 1528856 1528866 1528871 1528872,https://support.mozilla.org/questions/1528644 https://support.mozilla.org/questions/1528675 https://support.mozilla.org/questions/1528715 https://support.mozilla.org/questions/1528723 https://support.mozilla.org/questions/1528727 https://support.mozilla.org/questions/1528732 https://support.mozilla.org/questions/1528733 https://support.mozilla.org/questions/1528744 https://support.mozilla.org/questions/1528755 https://support.mozilla.org/questions/1528773 https://support.mozilla.org/questions/1528775 https://support.mozilla.org/questions/1528779 https://support.mozilla.org/questions/1528783 https://support.mozilla.org/questions/1528790 https://support.mozilla.org/questions/1528822 https://support.mozilla.org/questions/1528856 https://support.mozilla.org/questions/1528866 https://support.mozilla.org/questions/1528871 https://support.mozilla.org/questions/1528872,"Messages are suddenly not showing subject or from, and body  | Messages not being formatted | Emails appearing in HTML format (bitdefender) | Problem with the display of downloaded emails (bitdefender) | Emails are corrupted (bitdefender)"
